episode,step,potato_index,angle,x,y,reward,tower_height,contacts,dx,dy,potatoes_used
81,5,4,330.0,433.43,377.46,75.20,24.59,1,10.50,-59.46,4
82,1,0,330.0,400.00,500.00,78.29,28.28,1,0.00,0.00,1
82,2,4,60.0,391.73,471.72,61.44,28.32,1,15.17,-60.79,2
82,3,3,120.0,381.58,410.90,61.62,26.02,2,144.42,7.70,3
83,1,0,150.0,400.00,500.00,74.38,23.79,1,0.00,0.00,1
83,2,3,300.0,403.20,476.21,41.63,23.80,1,68.61,-11.26,2
83,4,4,0.0,466.44,464.94,55.83,23.80,1,6.53,-52.33,3
83,5,2,270.0,474.64,412.61,37.46,25.11,1,163.05,50.73,4
84,1,0,60.0,400.00,500.00,86.66,28.39,1,0.00,0.00,1
84,5,3,120.0,400.11,471.61,67.25,25.51,2,38.97,-29.85,2
85,1,0,300.0,400.00,500.00,84.27,28.24,1,0.00,0.00,1
85,2,2,30.0,402.21,471.76,77.38,28.26,1,5.96,-50.12,2
85,3,4,240.0,407.92,421.62,61.36,28.24,1,70.26,-5.31,3
86,1,4,150.0,400.00,500.00,97.62,35.60,1,0.00,0.00,1
86,2,0,270.0,396.42,464.40,95.58,35.59,1,7.47,-69.53,2
86,3,3,330.0,400.21,394.87,82.24,28.42,2,50.52,-22.48,3
86,5,2,240.0,566.78,449.11,66.31,28.44,1,87.72,15.15,4
87,1,2,30.0,400.00,500.00,93.09,31.61,1,0.00,0.00,1
87,2,0,120.0,399.86,468.39,91.93,31.60,1,1.45,-48.24,2
87,3,4,150.0,401.35,420.16,68.54,31.61,1,88.03,35.35,3
87,4,3,150.0,315.34,456.05,92.04,31.62,1,6.71,-49.29,4
88,1,2,270.0,400.00,500.00,92.56,31.28,1,0.00,0.00,1
88,2,3,330.0,400.01,468.72,83.85,31.30,1,4.02,-55.83,2
88,3,1,150.0,406.78,412.87,74.99,25.10,2,49.07,27.00,3
88,4,4,240.0,552.86,474.90,86.69,25.10,2,15.44,-52.08,4
88,5,0,330.0,568.32,422.82,88.86,25.07,1,15.17,-66.24,5
